,text,Username,Timestamp,location
0," Manhandling of Chaurasia at Shaheen Bagh is condemnable.
But this was NOT an attack on journalists or journalism.
Bootlicki…",C0ElhUB7edRi2be,Sun Jan 26 11:03:45 +0000 2020,None
1,"The attack, the second major case of violence against women in the past two weeks, has sparked public outrage in In… https://t.co/mP71AhhgDF",Pr0ud_PaK,Sun Jan 26 11:03:45 +0000 2020,Pakistan🇵🇰
2,@Lurk28149981 @deifgd @StevieT69420 @Politics_Polls @SienaResearch @nytimes I would recommend reading the article o… https://t.co/K5Mh6GgOSo,ecchen1,Sun Jan 26 11:03:45 +0000 2020,None
3,@simon_feminist Gde si pročitala da se ide po kucama??,GORANIRAC,Sun Jan 26 11:03:45 +0000 2020,"Belgrade, Republic of Serbia"
4, WAS SHOOTING HIS MOTHER NOT ENOUGH https://t.co/UyweyWYYIE,AnganBea,Sun Jan 26 11:03:45 +0000 2020,"Cebu City, Central Visayas"
5," .
من #بغداد 
مسيرة الطلبة
———
Little while ago #Baghdad #Iraq
Students' strike continues

#IraqiRevolution #IraqProtests http…",AzadiBarabary,Sun Jan 26 11:03:46 +0000 2020,None
6," 2020 so far;
- “world war 3”
- iran plane crash
- australian bushfires
- volcanic eruptions
- earthquake in indonesia
- jak…",nadhieyyy,Sun Jan 26 11:03:46 +0000 2020,"Chukai, Terengganu"
7," “People are sick and tired of being called racist. If you voted for Brexit, you’re racist. If you voted for Boris, you’re…",Riversparkle,Sun Jan 26 11:03:46 +0000 2020,"England, United Kingdom"
8," 2020 so far;
- “world war 3”
- iran plane crash
- australian bushfires
- volcanic eruptions
- earthquake in indonesia
- jak…",ittadakimaz,Sun Jan 26 11:03:46 +0000 2020,None
9," we dont deserve dogs. 😭
น้องหมาที่เป็น autism service dog พยายามช่วยเจ้านายสงบสติอารมณ์ตอนที่เธอมีอาการ panic น้องพยายาม…",kangx1o,Sun Jan 26 11:03:46 +0000 2020,None
10, WAS SHOOTING HIS MOTHER NOT ENOUGH https://t.co/UyweyWYYIE,ariellovemail,Sun Jan 26 11:03:47 +0000 2020,✡ lesbian ✡ 18 ✡ atu'23 ✡
11," I was covering the protest, Dipak Chaurasia came to provoke, asked silly questions,  and then when protestor asked him not to…",Ghair_DrArun,Sun Jan 26 11:03:47 +0000 2020,None
12, She is just stating in new words the original Islamist plan in India after 1947. Those who voted for Pakistan suddenly swore…,monty_chadha,Sun Jan 26 11:03:47 +0000 2020,bharat 
13, Goodbye Year of the Pig - it's been a blast! Hello Year of the Rat! #CNY2020 https://t.co/LBGtVkHUuF,MillyandFlynn,Sun Jan 26 11:03:47 +0000 2020,Cheltenham
14,"tou a chorar, sim",rinamg9,Sun Jan 26 11:03:47 +0000 2020,Açores/ Lisboa 
15," The US Navy will name a new aircraft carrier after Doris ""Dorie"" Miller, a decorated World War II veteran who defended Pearl Harb…",matt2438,Sun Jan 26 11:03:48 +0000 2020,Decatur Al
16,Never shooting my shot again smh https://t.co/xjPzDBna3K,Idz_z100,Sun Jan 26 11:03:48 +0000 2020,None
17, VFW wants Trump to apologize for dismissing troops’ injuries from an Iranian air attack as “headaches” and “not very se…,karen_lyles,Sun Jan 26 11:03:48 +0000 2020,None
18," LIKE &amp; RETWEET RETWEET RETWEET!

IF YOU WANT A NATIONAL INQUIRY INTO THE GROOMING / RAPE GANGS COVER UPS. 

SHOW YOUR…",Dantomlom2,Sun Jan 26 11:03:48 +0000 2020,"England, United Kingdom"
19," 2020 so far;
- “world war 3”
- iran plane crash
- australian bushfires
- volcanic eruptions
- earthquake in indonesia
- jak…",xiaopluto,Sun Jan 26 11:03:48 +0000 2020,golden closet
20,Guys.... read Attack on Titan.,LORDE_ARYEE,Sun Jan 26 11:03:48 +0000 2020,Here
21, Members of French Communist Party along with Hezbollah and Hamas supporters in #Paris attack Iranians opposed to the Ayatolla…,nastaranfh,Sun Jan 26 11:03:49 +0000 2020,None
22, Be warned - BJP gangs are on the prowl. I got a home visit this morning. They wanted to 'explain the CAA'. Unfortunately they…,NegiDeekshant,Sun Jan 26 11:03:49 +0000 2020,None
23, She is just stating in new words the original Islamist plan in India after 1947. Those who voted for Pakistan suddenly swore…,INDIAN74811886,Sun Jan 26 11:03:49 +0000 2020,Greater Noida.NCR INDIA
24, WAS SHOOTING HIS MOTHER NOT ENOUGH https://t.co/UyweyWYYIE,dumdbij,Sun Jan 26 11:03:49 +0000 2020,crying in the corner
25," @realDonaldTrump Yes, the Do Nothing Democrats impeachment HOAX is falling apart!!!

Thank you President Trump for Making A…",lvlvlrd707,Sun Jan 26 11:03:49 +0000 2020,Republic of California
26," We the people of the UK, should have a national enquiry, no brushing this horrific crime, on a grand scale under the carpet.…",eileen_sansom,Sun Jan 26 11:03:49 +0000 2020,"Romford, London"
27, Trophy hunters are shooting Endangered Polar Bears ... for FUN :( :( :( https://t.co/OhdzhjvIQ8 #BanTrophyHunting,paulrogers002,Sun Jan 26 11:03:50 +0000 2020,"Langtoun, UK"
28," 👉People like this are EXACTLY why I elected Donald Trump to be President

😒Turn in your fins Swamp Thing

🤬You're done

➡️R…",VFrankenstein76,Sun Jan 26 11:03:50 +0000 2020,None
29," What happens when two powerful gangs battle it out to gain complete control over the underworld? To find out, watch #Worl…",112Venky,Sun Jan 26 11:03:50 +0000 2020,None
30,"So we got forest fire, melting ice caps, polluted oceans and guys playing big dick with nuclear weapons. So much fo… https://t.co/MS96S5Z46S",SefC_,Sun Jan 26 11:03:50 +0000 2020,"Lancashire,  UK"
31," The Islamic Jihad terror organization granting equality to the women of Gaza when it comes to jihad (terror attacks, suic…",antonia_frank17,Sun Jan 26 11:03:51 +0000 2020,"Zurich, Venice, Paris"
32,Taquiya,sanatanadhrm,Sun Jan 26 11:03:51 +0000 2020,None
33,@worldoftrev Star crash,SciBloke,Sun Jan 26 11:03:51 +0000 2020,United Kingdom
34," #JeffBezosLiar
Attempted attack on His Highness the Crown Prince of the Kingdom exposed and can not be believed
@AJArabic
@…",SalhFawz,Sun Jan 26 11:03:51 +0000 2020,الاحساء
35, She is just stating in new words the original Islamist plan in India after 1947. Those who voted for Pakistan suddenly swore…,janak294,Sun Jan 26 11:03:51 +0000 2020,India
36," Thread /
This guy who showed up in the Iran-backed scheduled protests against US presence in Iraq is ""Abu Dar'"" also know…",majidhossaini,Sun Jan 26 11:03:51 +0000 2020,"Stockholm, Sverige"
37,"wala bamang update kagabe, next week pa episode 11😪",cessKiara,Sun Jan 26 11:03:52 +0000 2020,Maldives  ¦¦  South Korea
38," Parents Against Grooming Gangs Protesting today outside #Rochdale Police HQ 

They asked to speak to Chief Constable of GMP…",Dgknsmk,Sun Jan 26 11:03:52 +0000 2020,None
39, ช่วงนี้ชีวิตมืดมนมาก🌘ต้องพึ่งกลิตเตอร์ @lilybyredth มาช่วยเบิกเนตร ดูความวิ้งค์วับนั่นสิ ชีวิตดูมีความหวังขึ้นมาอีกครั้ง…,yikes4eva,Sun Jan 26 11:03:52 +0000 2020,ㅇㄷㅇㅅㄴ
40," @ColorsTV @sidharth_shukla @BeingSalmanKhan @Vivo_India Shukla Drug Addict tha 
He has in Rehab &amp; his friend is @mnysha ,Shuk…",OLovenish,Sun Jan 26 11:03:53 +0000 2020,Udaipur
41," .
من #بغداد 
مسيرة الطلبة
———
Little while ago #Baghdad #Iraq
Students' strike continues

#IraqiRevolution #IraqProtests http…",Abdo_Ahmed_soli,Sun Jan 26 11:03:53 +0000 2020,"Aswan, Egypt"
42," Which Australians are you referring to Spud?

The Twitter crazies?
The 'African gangs'?
The anchor babies?
The stolen g…",robertkaye11,Sun Jan 26 11:03:53 +0000 2020,"Melbourne, Victoria, Australia"
43," Moments ago in Nasriyah, security forces attempted an advance against the protesters #Iraq https://t.co/oX5TwXhXOf",AmeerBAAlaasam,Sun Jan 26 11:03:53 +0000 2020,None
44,Cod MW lets play some cyber attack!- #RazerStreamer https://t.co/DpUpVUdFxD,LarssonKlas,Sun Jan 26 11:03:53 +0000 2020,None
45," 2020 so far;
- “world war 3”
- iran plane crash
- australian bushfires
- volcanic eruptions
- earthquake in indonesia
- jak…",__opheeo,Sun Jan 26 11:03:53 +0000 2020,None
46," It's not sadness, it's just an attack of reality.",LucyLuci0,Sun Jan 26 11:03:53 +0000 2020,Belgium
47," 2020 so far;
- “world war 3”
- iran plane crash
- australian bushfires
- volcanic eruptions
- earthquake in indonesia
- jak…",Syzh_Sahit,Sun Jan 26 11:03:53 +0000 2020,None
48, Lawyer says heroic police officer should be disciplined for saving his own life with a Taser during vicious machete attack as…,johnMbrooks72,Sun Jan 26 11:03:54 +0000 2020,"Farnborough, South East"
49," 2020 so far;
- “world war 3”
- iran plane crash
- australian bushfires
- volcanic eruptions
- earthquake in indonesia
- jak…",atenabilaa,Sun Jan 26 11:03:54 +0000 2020,Rivendell
50,"Likusa ide i snima sahranu, pa sve ti jebem nenormalno",veroneveroo,Sun Jan 26 11:03:54 +0000 2020,"Sremska Mitrovica, Srbija"
51," Someone tell this idiot that this pilot is Squadron Leader Syyed Sajjad Haider, aka 'Nosey' Haider (quite obvious) who led…",mkundapur,Sun Jan 26 11:03:54 +0000 2020,Mangalore
52," Anjali Begins Shooting for #PSPK26 👍

@PawanKalyan https://t.co/Ibgh8y7sYw",Karthic23851365,Sun Jan 26 11:03:54 +0000 2020,Mana AP
53," When you’re so consumed by intellectual narcissism, that your sentences are literally unfathomable..",peterprobert,Sun Jan 26 11:03:54 +0000 2020,"London, Suffolk & Kefalonia"
54,Amen!,bob65mybp,Sun Jan 26 11:03:54 +0000 2020,"Florida, USA"
55,"Heart Attack by Courteeners
https://t.co/AzpNOqZpDB",D4nArrow,Sun Jan 26 11:03:54 +0000 2020,"Burnley, England"
56, So Hawley's position is interesting. Let's crash this party. Trump's legal team is trashing the House member's case. But i…,GhostDo63194912,Sun Jan 26 11:03:54 +0000 2020,None
57," ""I will remove the (clergyman)turban out of love for Iraq,Nasiriya,and the revolutionaries"". Sadrist recently scorned by…",6MzeumCMr4FrnKN,Sun Jan 26 11:03:54 +0000 2020,None
58," 2020 so far;
- “world war 3”
- iran plane crash
- australian bushfires
- volcanic eruptions
- earthquake in indonesia
- jak…",moichasa,Sun Jan 26 11:03:55 +0000 2020,ENTP for lyfe
59, She is just stating in new words the original Islamist plan in India after 1947. Those who voted for Pakistan suddenly swore…,Shadow_Storm2,Sun Jan 26 11:03:55 +0000 2020,"Makkah Al Mukarrama, Kingdom o"
60," we dont deserve dogs. 😭
น้องหมาที่เป็น autism service dog พยายามช่วยเจ้านายสงบสติอารมณ์ตอนที่เธอมีอาการ panic น้องพยายาม…",f3film,Sun Jan 26 11:03:55 +0000 2020,ขอนแก่น
61," 배우 아콰피나가 첫 영화 찍기 전 쓴 글이라고.('오션스8'인듯) 사람들 실망시키면 어쩌지, 두렵다 겁난다 이런 말들이 써 있다. 그래도 끝에선 괜찮아 다들 겁내,하고 자기감정을 수용하며 토닥토닥. 스스로를 행복하게…",nct_cosmo,Sun Jan 26 11:03:55 +0000 2020,도페스
62," 2020 so far;
- “world war 3”
- iran plane crash
- australian bushfires
- volcanic eruptions
- earthquake in indonesia
- jak…",rajhunter,Sun Jan 26 11:03:55 +0000 2020,C 137 
63,niki attack,printempsdevil,Sun Jan 26 11:03:55 +0000 2020,sweden
64," 日本では現在１８人がウイルス検査中。
日本政府から情報を得ていると思われるトルコ大使館の
自国民向け公式ツイートです
この３日後、日本で４人目の感染者を厚生労働省が公表。",WKmups5SrmSpKQl,Sun Jan 26 11:03:55 +0000 2020,None
